ID,Title,Difficulty,Tags,AcceptanceRate
57,"Insert Interval",Medium,"Array;Sorting",43.3
58,"Length of Last Word",Easy,"String",56.1
59,"Spiral Matrix II",Medium,"Array;Matrix;Simulation",73.3
61,"Rotate List",Medium,"Linked List;Two Pointers",39.8
62,"Unique Paths",Medium,"Math;Dynamic Programming;Combinatorics",65.7
63,"Unique Paths II",Medium,"Array;Dynamic Programming;Matrix",43.0
64,"Minimum Path Sum",Medium,"Array;Dynamic Programming;Matrix",66.3
66,"Plus One",Easy,"Array;Math",47.4
67,"Add Binary",Easy,"Math;String;Bit Manipulation;Simulation",55.6
69,"Sqrt(x)",Easy,"Math;Binary Search",40.3
70,"Climbing Stairs",Easy,"Math;Dynamic Programming;Memoization",53.5
71,"Simplify Path",Medium,"String;Stack",47.5
73,"Set Matrix Zeroes",Medium,"Array;Hash Table;Matrix",60.4
74,"Search a 2D Matrix",Medium,"Array;Binary Search;Matrix",52.1
75,"Sort Colors",Medium,"Array;Two Pointers;Sorting",67.4
76,"Minimum Window Substring",Hard,"Hash Table;String;Sliding Window",45.2
77,"Combinations",Medium,"Array;Backtracking",72.7
78,"Subsets",Medium,"Array;Backtracking;Bit Manipulation",80.7
79,"Word Search",Medium,"Array;Backtracking;Matrix",45.1
80,"Remove Duplicates from Sorted Array II",Medium,"Array;Two Pointers",62.7
81,"Search in Rotated Sorted Array II",Medium,"Array;Binary Search",38.8
83,"Remove Duplicates from Sorted List",Easy,"Linked List",54.7
84,"Largest Rectangle in Histogram",Hard,"Array;Stack;Monotonic Stack",47.1
85,"Maximal Rectangle",Hard,"Array;Dynamic Programming;Stack;Matrix;Monotonic Stack",53.4
88,"Merge Sorted Array",Easy,"Array;Two Pointers;Sorting",52.7
90,"Subsets II",Medium,"Array;Backtracking;Bit Manipulation",59.3
91,"Decode Ways",Medium,"String;Dynamic Programming",36.4
94,"Binary Tree Inorder Traversal",Easy,"Tree;Depth-First Search;Binary Tree;Stack;Recursion",78.4
98,"Validate Binary Search Tree",Medium,"Tree;Depth-First Search;Binary Search Tree;Binary Tree;Recursion",34.3
99,"Recover Binary Search Tree",Medium,"Tree;Depth-First Search;Binary Search Tree;Binary Tree;Sorting",56.0
100,"Same Tree",Easy,"Tree;Depth-First Search;Breadth-First Search;Binary Tree;Recursion",64.9
101,"Symmetric Tree",Easy,"Tree;Depth-First Search;Breadth-First Search;Binary Tree;Recursion",59.1
102,"Binary Tree Level Order Traversal",Medium,"Tree;Breadth-First Search;Binary Tree",70.4
103,"Binary Tree Zigzag Level Order Traversal",Medium,"Tree;Breadth-First Search;Binary Tree",61.5
104,"Maximum Depth of Binary Tree",Easy,"Tree;Depth-First Search;Breadth-First Search;Binary Tree;Recursion",77.0
105,"Construct Binary Tree from Preorder and Inorder Traversal",Medium,"Array;Hash Table;Divide and Conquer;Tree;Binary Tree",66.6
106,"Construct Binary Tree from Inorder and Postorder Traversal",Medium,"Array;Hash Table;Divide and Conquer;Tree;Binary Tree",65.8
107,"Binary Tree Level Order Traversal II",Medium,"Tree;Breadth-First Search;Binary Tree",65.8
108,"Convert Sorted Array to Binary Search Tree",Easy,"Array;Divide and Conquer;Tree;Binary Search Tree;Binary Tree",73.9
109,"Convert Sorted List to Binary Search Tree",Medium,"Linked List;Divide and Conquer;Tree;Binary Search Tree;Binary Tree",64.3
110,"Balanced Binary Tree",Easy,"Tree;Depth-First Search;Binary Tree;Recursion",55.1
111,"Minimum Depth of Binary Tree",Easy,"Tree;Depth-First Search;Breadth-First Search;Binary Tree",50.5
112,"Path Sum",Easy,"Tree;Depth-First Search;Breadth-First Search;Binary Tree;Recursion",52.8
113,"Path Sum II",Medium,"Tree;Depth-First Search;Backtracking;Binary Tree",60.4
114,"Flatten Binary Tree to Linked List",Medium,"Linked List;Stack;Tree;Depth-First Search;Binary Tree",68.3
116,"Populating Next Right Pointers in Each Node",Medium,"Linked List;Tree;Depth-First Search;Breadth-First Search;Binary Tree",65.3
117,"Populating Next Right Pointers in Each Node II",Medium,"Linked List;Tree;Depth-First Search;Breadth-First Search;Binary Tree",55.4
118,"Pascal's Triangle",Easy,"Array;Dynamic Programming",76.9
120,"Triangle",Medium,"Array;Dynamic Programming",59.1
121,"Best Time to Buy and Sell Stock",Easy,"Array;Dynamic Programming",55.1
124,"Binary Tree Maximum Path Sum",Hard,"Tree;Depth-First Search;Dynamic Programming;Binary Tree",41.1
125,"Valid Palindrome",Easy,"Two Pointers;String",50.7
127,"Word Ladder",Hard,"Hash Table;String;Breadth-First Search",42.5
128,"Longest Consecutive Sequence",Medium,"Array;Hash Table;Union Find",47.1
129,"Sum Root to Leaf Numbers",Medium,"Tree;Depth-First Search;Binary Tree",68.4
130,"Surrounded Regions",Medium,"Array;Depth-First Search;Breadth-First Search;Union Find;Matrix",42.6
131,"Palindrome Partitioning",Medium,"String;Dynamic Programming;Backtracking",71.9
135,"Candy",Hard,"Array;Greedy;Sorting",44.7
136,"Single Number",Easy,"Array;Bit Manipulation",75.8
137,"Single Number II",Medium,"Array;Bit Manipulation",65.1
138,"Copy List with Random Pointer",Medium,"Hash Table;Linked List",60.3
141,"Linked List Cycle",Easy,"Hash Table;Linked List;Two Pointers",52.4
142,"Linked List Cycle II",Medium,"Hash Table;Linked List;Two Pointers",54.6
143,"Reorder List",Medium,"Linked List;Two Pointers;Stack;Recursion",62.2
144,"Binary Tree Preorder Traversal",Easy,"Stack;Tree;Depth-First Search;Binary Tree;Recursion",73.0
145,"Binary Tree Postorder Traversal",Easy,"Stack;Tree;Depth-First Search;Binary Tree;Recursion",75.5
146,"LRU Cache",Medium,"Hash Table;Linked List;Design;Doubly-Linked List",45.0
148,"Sort List",Medium,"Linked List;Two Pointers;Divide and Conquer;Sorting;Merge Sort",61.5
151,"Reverse Words in a String",Medium,"Two Pointers;String",51.4
152,"Maximum Product Subarray",Medium,"Array;Dynamic Programming",34.8
153,"Find Minimum in Rotated Sorted Array",Medium,"Array;Binary Search",52.5
155,"Min Stack",Medium,"Stack;Design",56.3
160,"Intersection of Two Linked Lists",Easy,"Hash Table;Linked List;Two Pointers",60.9
162,"Find Peak Element",Medium,"Array;Binary Search",46.5
164,"Maximum Gap",Medium,"Array;Sorting;Bucket Sort;Radix Sort",49.2 
165,"Compare Version Numbers",Medium,"Two Pointers;String",42.2
167,"Two Sum II - Input Array Is Sorted",Medium,"Array;Two Pointers;Binary Search",63.3
169,"Majority Element",Easy,"Array;Hash Table;Sorting;Counting;Divide and Conquer;Boyer-Moore Voting Algorithm",65.7
173,"Binary Search Tree Iterator",Medium,"Stack;Tree;Design;Binary Search Tree;Binary Tree;Iterator",74.7
189,"Rotate Array",Medium,"Array;Math;Two Pointers",42.9
198,"House Robber",Medium,"Array;Dynamic Programming",52.2
199,"Binary Tree Right Side View",Medium,"Tree;Depth-First Search;Breadth-First Search;Binary Tree",66.7
200,"Number of Islands",Medium,"Array;Depth-First Search;Breadth-First Search;Union Find;Matrix",62.1
201,"Bitwise AND of Numbers Range",Medium,"Bit Manipulation",47.7
203,"Remove Linked List Elements",Easy,"Linked List;Recursion",51.7
204,"Count Primes",Medium,"Array;Math;Number Theory;Sieve of Eratosthenes",34.7
205,"Isomorphic Strings",Easy,"Hash Table;String",46.7
206,"Reverse Linked List",Easy,"Linked List;Recursion",79.1
207,"Course Schedule",Medium,"Depth-First Search;Breadth-First Search;Graph;Topological Sort",49.0
208,"Implement Trie (Prefix Tree)",Medium,"Hash Table;String;Design;Trie",67.8
209,"Minimum Size Subarray Sum",Medium,"Array;Binary Search;Sliding Window;Prefix Sum",49.2
210,"Course Schedule II",Medium,"Depth-First Search;Breadth-First Search;Graph;Topological Sort",53.2
213,"House Robber II",Medium,"Array;Dynamic Programming",43.4
214,"Shortest Palindrome",Hard,"String;Rolling Hash;String Matching;Hash Function",40.6
215,"Kth Largest Element in an Array",Medium,"Array;Divide and Conquer;Sorting;Heap (Priority Queue);Quickselect",67.9
216,"Combination Sum III",Medium,"Array;Backtracking",71.7
217,"Contains Duplicate",Easy,"Array;Hash Table;Sorting",63.1
219,"Contains Duplicate II",Easy,"Array;Hash Table;Sliding Window",48.8
222,"Count Complete Tree Nodes",Easy,"Tree;Depth-First Search;Binary Search;Binary Tree",69.7
225,"Implement Stack using Queues",Easy,"Stack;Design;Queue",67.1
226,"Invert Binary Tree",Easy,"Tree;Depth-First Search;Breadth-First Search;Binary Tree;Recursion",78.9
229,"Majority Element II",Medium,"Array;Hash Table;Sorting;Counting;Boyer-Moore Voting Algorithm",54.2
230,"Kth Smallest Element in a BST",Medium,"Tree;Depth-First Search;Binary Search Tree;Binary Tree;Inorder Traversal",75.1
231,"Power of Two",Easy,"Math;Bit Manipulation;Recursion",48.3
232,"Implement Queue using Stacks",Easy,"Stack;Design;Queue",67.9
234,"Palindrome Linked List",Easy,"Linked List;Two Pointers;Stack;Recursion",55.6
235,"Lowest Common Ancestor of a Binary Search Tree",Medium,"Tree;Depth-First Search;Binary Search Tree;Binary Tree",68.1
236,"Lowest Common Ancestor of a Binary Tree",Medium,"Tree;Depth-First Search;Binary Tree",66.5
237,"Delete Node in a Linked List",Medium,"Linked List",82.1
238,"Product of Array Except Self",Medium,"Array;Prefix Sum",67.7
239,"Sliding Window Maximum",Hard,"Array;Queue;Sliding Window;Heap (Priority Queue);Monotonic Queue;Deque",47.5
240,"Search a 2D Matrix II",Medium,"Array;Binary Search;Divide and Conquer;Matrix",55.0
242,"Valid Anagram",Easy,"Hash Table;String;Sorting",66.5
258,"Add Digits",Easy,"Math;Number Theory;Simulation",67.8
260,"Single Number III",Medium,"Array;Bit Manipulation",70.7
263,"Ugly Number",Easy,"Math",42.3
264,"Ugly Number II",Medium,"Hash Table;Math;Dynamic Programming;Heap (Priority Queue)",49.2
268,"Missing Number",Easy,"Array;Hash Table;Math;Binary Search;Bit Manipulation;Sorting",69.9
273,"Integer to English Words",Hard,"String;Math;Recursion",34.3
274,"H-Index",Medium,"Array;Sorting;Counting Sort;Hash Table",40.2
283,"Move Zeroes",Easy,"Array;Two Pointers",62.7
287,"Find the Duplicate Number",Medium,"Array;Two Pointers;Binary Search;Bit Manipulation",62.7
297,"Serialize and Deserialize Binary Tree",Hard,"String;Tree;Depth-First Search;Breadth-First Search;Design;Binary Tree",58.8
300,"Longest Increasing Subsequence",Medium,"Array;Binary Search;Dynamic Programming",57.6
309,"Best Time to Buy and Sell Stock with Cooldown",Medium,"Array;Dynamic Programming",60.2
319,"Bulb Switcher",Medium,"Math;Brainteaser",54.0
324,"Wiggle Sort II",Medium,"Array;Divide and Conquer;Sorting;Quickselect",35.6
326,"Power of Three",Easy,"Math;Recursion",47.9
328,"Odd Even Linked List",Medium,"Linked List",62.0
334,"Increasing Triplet Subsequence",Medium,"Array;Greedy",39.1
338,"Counting Bits",Easy,"Dynamic Programming;Bit Manipulation",79.6
342,"Power of Four",Easy,"Math;Bit Manipulation;Recursion",49.4
344,"Reverse String",Easy,"Two Pointers;String",79.7
345,"Reverse Vowels of a String",Easy,"Two Pointers;String",57.9
347,"Top K Frequent Elements",Medium,"Array;Hash Table;Divide and Conquer;Sorting;Heap (Priority Queue);Bucket Sort;Counting;Quickselect",64.4
349,"Intersection of Two Arrays",Easy,"Array;Hash Table;Two Pointers;Binary Search;Sorting",76.3
350,"Intersection of Two Arrays II",Easy,"Array;Hash Table;Two Pointers;Binary Search;Sorting",59.0
367,"Valid Perfect Square",Easy,"Math;Binary Search",44.1
377,"Combination Sum IV",Medium,"Array;Dynamic Programming",54.6
378,"Kth Smallest Element in a Sorted Matrix",Medium,"Array;Binary Search;Matrix;Sorting;Heap (Priority Queue)",63.5
383,"Ransom Note",Easy,"Hash Table;String;Counting",64.4
387,"First Unique Character in a String",Easy,"Hash Table;String;Queue;Counting",63.6
389,"Find the Difference",Easy,"Hash Table;String;Bit Manipulation;Sorting",59.7
392,"Is Subsequence",Easy,"Two Pointers;String;Dynamic Programming",48.3
394,"Decode String",Medium,"String;Stack;Recursion",61.0
402,"Remove K Digits",Medium,"String;Stack;Greedy;Monotonic Stack",34.8
404,"Sum of Left Leaves",Easy,"Tree;Depth-First Search;Breadth-First Search;Binary Tree",61.6
409,"Longest Palindrome",Easy,"Hash Table;String;Greedy",55.5
410,"Split Array Largest Sum",Hard,"Array;Binary Search;Dynamic Programming;Greedy;Prefix Sum",57.8
412,"Fizz Buzz",Easy,"Math;String;Simulation",74.3
415,"Add Strings",Easy,"Math;String;Simulation",51.9
416,"Partition Equal Subset Sum",Medium,"Array;Dynamic Programming",48.3
421,"Maximum XOR of Two Numbers in an Array",Medium,"Array;Hash Table;Bit Manipulation;Trie",53.2
424,"Longest Repeating Character Replacement",Medium,"Hash Table;String;Sliding Window",57.0
434,"Number of Segments in a String",Easy,"String",36.4
435,"Non-overlapping Intervals",Medium,"Array;Dynamic Programming;Greedy;Sorting",55.3
437,"Path Sum III",Medium,"Tree;Depth-First Search;Binary Tree",46.1
438,"Find All Anagrams in a String",Medium,"Hash Table;String;Sliding Window",52.1
441,"Arranging Coins",Easy,"Math;Binary Search",47.3
442,"Find All Duplicates in an Array",Medium,"Array;Hash Table",76.4
443,"String Compression",Medium,"Two Pointers;String",57.9
448,"Find All Numbers Disappeared in an Array",Easy,"Array;Hash Table",62.3
451,"Sort Characters By Frequency",Medium,"Hash Table;String;Sorting;Heap (Priority Queue);Bucket Sort;Counting",73.9
452,"Minimum Number of Arrows to Burst Balloons",Medium,"Array;Greedy;Sorting",60.3
455,"Assign Cookies",Easy,"Array;Greedy;Sorting",53.7
456,"132 Pattern",Medium,"Array;Stack;Monotonic Stack",34.0
458,"Poor Pigs",Hard,"Math;Dynamic Programming;Combinatorics;Brainteaser",59.2
459,"Repeated Substring Pattern",Easy,"String;String Matching",46.8
485,"Max Consecutive Ones",Easy,"Array",62.3
486,"Predict the Winner",Medium,"Array;Math;Dynamic Programming;Recursion;Memoization",55.7
493,"Reverse Pairs",Hard,"Array;Binary Search;Divide and Conquer;Binary Indexed Tree;Segment Tree;Merge Sort;Ordered Set",32.0
496,"Next Greater Element I",Easy,"Array;Hash Table;Stack;Monotonic Stack",74.3
500,"Keyboard Row",Easy,"Array;Hash Table;String",72.4
503,"Next Greater Element II",Medium,"Array;Stack;Monotonic Stack",66.1
506,"Relative Ranks",Easy,"Array;Sorting;Heap (Priority Queue)",73.2
509,"Fibonacci Number",Easy,"Math;Dynamic Programming;Recursion;Memoization",72.8
513,"Find Bottom Left Tree Value",Medium,"Tree;Depth-First Search;Breadth-First Search;Binary Tree",71.7
516,"Longest Palindromic Subsequence",Medium,"String;Dynamic Programming",64.0
523,"Continuous Subarray Sum",Medium,"Array;Hash Table;Math;Prefix Sum",30.9
525,"Contiguous Array",Medium,"Array;Hash Table;Prefix Sum",49.2
532,"K-diff Pairs in an Array",Medium,"Array;Hash Table;Two Pointers;Binary Search;Sorting",44.5
535,"Encode and Decode TinyURL",Medium,"Hash Table;String;Design;Hash Function",86.3
538,"Convert BST to Greater Tree",Medium,"Tree;Depth-First Search;Binary Search Tree;Binary Tree;Recursion",70.4
539,"Minimum Time Difference",Medium,"Array;Math;String;Sorting",62.3
540,"Single Element in a Sorted Array",Medium,"Array;Binary Search",59.2
541,"Reverse String II",Easy,"Two Pointers;String",52.0
542,"01 Matrix",Medium,"Array;Breadth-First Search;Dynamic Programming;Matrix",51.2
543,"Diameter of Binary Tree",Easy,"Tree;Depth-First Search;Binary Tree",63.4
547,"Number of Provinces",Medium,"Depth-First Search;Breadth-First Search;Union Find;Graph",68.4
552,"Student Attendance Record II",Hard,"Dynamic Programming",55.7
557,"Reverse Words in a String III",Easy,"Two Pointers;String",83.6
560,"Subarray Sum Equals K",Medium,"Array;Hash Table;Prefix Sum",45.3
561,"Array Partition",Easy,"Array;Greedy;Sorting;Counting Sort",80.3
567,"Permutation in String",Medium,"Hash Table;Two Pointers;String;Sliding Window",47.1
572,"Subtree of Another Tree",Easy,"Tree;Depth-First Search;String Matching;Binary Tree;Hash Function",49.8
576,"Out of Boundary Paths",Medium,"Dynamic Programming",48.1
590,"N-ary Tree Postorder Traversal",Easy,"Stack;Tree;Depth-First Search;Recursion",80.6
599,"Minimum Index Sum of Two Lists",Easy,"Array;Hash Table;String",57.8
605,"Can Place Flowers",Easy,"Array;Greedy",28.9
606,"Construct String from Binary Tree",Medium,"String;Tree;Depth-First Search;Binary Tree",70.0
621,"Task Scheduler",Medium,"Array;Hash Table;Greedy;Sorting;Heap (Priority Queue);Counting",61.4
624,"Maximum Distance in Arrays",Medium,"Array;Greedy",45.6
633,"Sum of Square Numbers",Medium,"Math;Two Pointers;Binary Search",36.5
643,"Maximum Average Subarray I",Easy,"Array;Sliding Window",45.2
645,"Set Mismatch",Easy,"Array;Hash Table;Math;Bit Manipulation;Sorting",44.9
649,"Dota2 Senate",Medium,"String;Greedy;Queue",48.8
653,"Two Sum IV - Input is a BST",Easy,"Hash Table;Two Pointers;Tree;Depth-First Search;Breadth-First Search;Binary Search Tree;Binary Tree",62.1
657,"Robot Return to Origin",Easy,"String;Simulation",76.1
662,"Maximum Width of Binary Tree",Medium,"Tree;Depth-First Search;Breadth-First Search;Binary Tree",44.0
678,"Valid Parenthesis String",Medium,"String;Dynamic Programming;Stack;Greedy",38.8
680,"Valid Palindrome II",Easy,"Two Pointers;String;Greedy",42.9
682,"Baseball Game",Easy,"Array;Stack;Simulation",78.7
686,"Repeated String Match",Medium,"String;String Matching;Rolling Hash;Hash Function",36.6
687,"Longest Univalue Path",Medium,"Tree;Depth-First Search;Recursion;Binary Tree",42.5
688,"Knight Probability in Chessboard",Medium,"Dynamic Programming, Depth-First Search, Breadth-First Search"
697,"Degree of an Array",Easy,"Array, Hash Table, Sliding Window"
700,"Search in a Binary Search Tree",Easy,"Tree, Binary Search Tree, Binary Search"
701,"Insert into a Binary Search Tree",Medium,"Tree, Binary Search Tree"
704,"Binary Search",Easy,"Array, Binary Search"
709,"To Lower Case",Easy,"String"
713,"Subarray Product Less Than K",Medium,"Array, Two Pointers, Sliding Window"
721,"Accounts Merge",Medium,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union Find, Sorting"
724,"Find Pivot Index",Easy,"Array, Prefix Sum"
733,"Flood Fill",Easy,"Array, Depth-First Search, Breadth-First Search, Matrix"
735,"Asteroid Collision",Medium,"Array, Stack"
739,"Daily Temperatures",Medium,"Array, Stack, Monotonic Stack"
743,"Network Delay Time",Medium,"Graph, Depth-First Search, Breadth-First Search, Dijkstra, Heap (Priority Queue)"
746,"Min Cost Climbing Stairs",Easy,"Array, Dynamic Programming"
763,"Partition Labels",Medium,"Hash Table, Two Pointers, String, Greedy"
766,"Toeplitz Matrix",Easy,"Array, Matrix"
771,"Jewels and Stones",Easy,"Hash Table, String"
778,"Swim in Rising Water",Hard,"Array, Binary Search, Depth-First Search, Breadth-First Search, Union Find, Heap (Priority Queue), Matrix"
781,"Rabbits in Forest",Medium,"Array, Hash Table, Greedy"
783,"Minimum Distance Between BST Nodes",Easy,"Tree, Depth-First Search, Breadth-First Search, Binary Search Tree"
784,"Letter Case Permutation",Medium,"String, Backtracking, Breadth-First Search, Bit Manipulation"
785,"Is Graph Bipartite?",Medium,"Depth-First Search, Breadth-First Search, Graph, Union Find"
786,"K-th Smallest Prime Fraction",Medium,"Array, Two Pointers, Binary Search, Heap (Priority Queue)"
787,"Cheapest Flights Within K Stops",Medium,"Dynamic Programming, Depth-First Search, Breadth-First Search, Graph, Heap (Priority Queue), Shortest Path"
790,"Domino and Tromino Tiling",Medium,"Dynamic Programming"
791,"Custom Sort String",Medium,"Hash Table, String, Sorting"
796,"Rotate String",Easy,"String, String Matching"
802,"Find Eventual Safe States",Medium,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
806,"Number of Lines To Write String",Easy,"Array, String, Simulation"
821,"Shortest Distance to a Character",Easy,"Array, String, Two Pointers"
827,"Making A Large Island",Hard,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
838,"Push Dominoes",Medium,"Two Pointers, String, Dynamic Programming"
840,"Magic Squares In Grid",Medium,"Array, Matrix"
844,"Backspace String Compare",Easy,"Two Pointers, String, Stack, Simulation"
846,"Hand of Straights",Medium,"Array, Hash Table, Greedy, Sorting"
853,"Car Fleet",Medium,"Array, Stack, Sorting, Monotonic Stack"
860,"Lemonade Change",Easy,"Array, Greedy"
863,"All Nodes Distance K in Binary Tree",Medium,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
872,"Leaf-Similar Trees",Easy,"Tree, Depth-First Search, Binary Tree"
875,"Koko Eating Bananas",Medium,"Array, Binary Search"
876,"Middle of the Linked List",Easy,"Linked List, Two Pointers"
877,"Stone Game",Medium,"Array, Math, Dynamic Programming, Game Theory"
881,"Boats to Save People",Medium,"Array, Two Pointers, Greedy, Sorting"
884,"Uncommon Words from Two Sentences",Easy,"Hash Table, String"
885,"Spiral Matrix III",Medium,"Array, Matrix, Simulation"
890,"Find and Replace Pattern",Medium,"Array, Hash Table, String"
896,"Monotonic Array",Easy,"Array"
901,"Online Stock Span",Medium,"Stack, Design, Monotonic Stack"
904,"Fruit Into Baskets",Medium,"Array, Hash Table, Sliding Window"
905,"Sort Array By Parity",Easy,"Array, Two Pointers, Sorting"
907,"Sum of Subarray Minimums",Medium,"Array, Stack, Monotonic Stack, Dynamic Programming"
912,"Sort an Array",Medium,"Array, Sorting, Divide and Conquer, Merge Sort, Heap (Priority Queue), Quick Sort"
916,"Word Subsets",Medium,"Array, Hash Table, String"
921,"Minimum Add to Make Parentheses Valid",Medium,"String, Stack, Greedy"
922,"Sort Array By Parity II",Easy,"Array, Two Pointers, Sorting"
930,"Binary Subarrays With Sum",Medium,"Array, Hash Table, Two Pointers, Sliding Window, Prefix Sum"
933,"Number of Recent Calls",Easy,"Queue, Design"
941,"Valid Mountain Array",Easy,"Array, Two Pointers"
942,"DI String Match",Easy,"Array, Two Pointers, Greedy"
945,"Minimum Increment to Make Array Unique",Medium,"Array, Greedy, Sorting"
946,"Validate Stack Sequences",Medium,"Array, Stack, Simulation"
947,"Most Stones Removed with Same Row or Column",Medium,"Array, Depth-First Search, Union Find, Graph"
948,"Bag of Tokens",Medium,"Array, Two Pointers, Greedy, Sorting"
950,"Reveal Cards In Increasing Order",Medium,"Array, Queue, Sorting, Simulation"
961,"N-Repeated Element in Size 2N Array",Easy,"Array, Hash Table"
962,"Maximum Width Ramp",Medium,"Array, Stack, Monotonic Stack"
974,"Subarray Sums Divisible by K",Medium,"Array, Hash Table, Prefix Sum"
977,"Squares of a Sorted Array",Easy,"Array, Two Pointers, Sorting"
979,"Distribute Coins in Binary Tree",Medium,"Tree, Depth-First Search, Binary Tree"
984,"String Without AAA or BBB",Medium,"String, Greedy"
988,"Smallest String Starting From Leaf",Medium,"String, Tree, Depth-First Search, Binary Tree"
989,"Add to Array-Form of Integer",Easy,"Array, Math"
992,"Subarrays with K Different Integers",Hard,"Hash Table, Two Pointers, Sliding Window"
994,"Rotting Oranges",Medium,"Array, Breadth-First Search, Matrix"
997,"Find the Town Judge",Easy,"Array, Graph, Simulation"
1002,"Find Common Characters",Easy,"Array, Hash Table, String"
1004,"Max Consecutive Ones III",Medium,"Array, Sliding Window"
1005,"Maximize Sum Of Array After K Negations",Easy,"Array, Greedy, Sorting"
1007,"Minimum Domino Rotations For Equal Row",Medium,"Array, Greedy"
1008,"Construct Binary Search Tree from Preorder Traversal",Medium,"Array, Stack, Tree, Binary Search Tree, Monotonic Stack"
1011,"Capacity To Ship Packages Within D Days",Medium,"Array, Binary Search"
1020,"Number of Enclaves",Medium,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
1021,"Remove Outermost Parentheses",Easy,"String, Stack"
1038,"Binary Search Tree to Greater Sum Tree",Medium,"Tree, Depth-First Search, Binary Search Tree"
1051,"Height Checker",Easy,"Array, Sorting"
1052,"Grumpy Bookstore Owner",Medium,"Array, Sliding Window"
1071,"Greatest Common Divisor of Strings",Easy,"String, Math"
1091,"Shortest Path in Binary Matrix",Medium,"Array, Breadth-First Search, Matrix"
1092,"Shortest Common Supersequence",Hard,"String, Dynamic Programming"
1108,"Defanging an IP Address",Easy,"String"
1122,"Relative Sort Array",Easy,"Array, Hash Table, Sorting"
